client,global_epoch,comm_round,epoch_in_round,total_loss,ce_loss,topo_loss
0,0,0,0,0.7202,0.7008,0.3896
0,1,0,1,0.1544,0.1326,0.4341
0,2,0,2,0.1173,0.0972,0.4021
0,3,0,3,0.0802,0.0545,0.5135
0,4,0,4,0.0825,0.0584,0.482
1,5,1,0,1.1253,1.0978,0.5503
1,6,1,1,0.3924,0.3602,0.6446
1,7,1,2,0.2687,0.2358,0.6576
1,8,1,3,0.2082,0.1743,0.6779
1,9,1,4,0.1691,0.1347,0.6891
2,10,2,0,0.9741,0.9437,0.607
2,11,2,1,0.3626,0.3263,0.7262
2,12,2,2,0.2486,0.2108,0.7566
2,13,2,3,0.1939,0.1553,0.7712
2,14,2,4,0.1599,0.1198,0.8016
0,15,3,0,0.11,0.073,0.6156
0,16,3,1,0.1049,0.0608,0.7348
0,17,3,2,0.0779,0.0386,0.6544
0,18,3,3,0.0743,0.0235,0.8466
0,19,3,4,0.0534,0.0097,0.728
1,20,4,0,0.3896,0.3555,0.5689
1,21,4,1,0.2766,0.233,0.7262
1,22,4,2,0.2049,0.162,0.7146
1,23,4,3,0.1131,0.0727,0.6732
1,24,4,4,0.1078,0.064,0.7296
2,25,5,0,0.3319,0.2643,1.1266
2,26,5,1,0.2109,0.1455,1.0897
2,27,5,2,0.1298,0.0796,0.8373
2,28,5,3,0.1433,0.0901,0.887
2,29,5,4,0.0975,0.0471,0.84
0,30,6,0,0.1008,0.0656,0.5027
0,31,6,1,0.0939,0.0491,0.6399
0,32,6,2,0.0575,0.0147,0.6109
0,33,6,3,0.0513,0.0075,0.6254
0,34,6,4,0.0428,0.0037,0.5596
1,35,7,0,0.2502,0.2016,0.6951
1,36,7,1,0.1759,0.1259,0.7142
1,37,7,2,0.1407,0.0906,0.7161
1,38,7,3,0.1407,0.0983,0.6043
1,39,7,4,0.0671,0.0232,0.6271
2,40,8,0,0.189,0.1412,0.6841
2,41,8,1,0.1134,0.0666,0.6685
2,42,8,2,0.1022,0.0422,0.8583
2,43,8,3,0.085,0.0325,0.75
2,44,8,4,0.0796,0.0233,0.8044
0,45,9,0,0.0922,0.0533,0.4857
0,46,9,1,0.0676,0.0167,0.6357
0,47,9,2,0.0746,0.007,0.8447
0,48,9,3,0.0623,0.0127,0.6203
0,49,9,4,0.0775,0.0096,0.8495
1,50,10,0,0.1835,0.1396,0.5493
1,51,10,1,0.1388,0.0884,0.6303
1,52,10,2,0.1327,0.0723,0.7553
1,53,10,3,0.1103,0.0509,0.7433
1,54,10,4,0.0782,0.0245,0.6711
2,55,11,0,0.1602,0.0894,0.884
2,56,11,1,0.1269,0.0314,1.194
2,57,11,2,0.1182,0.0487,0.8688
2,58,11,3,0.0996,0.0149,1.0594
2,59,11,4,0.1013,0.0175,1.0478
0,60,12,0,0.0746,0.0306,0.4886
0,61,12,1,0.0883,0.0324,0.6207
0,62,12,2,0.0697,0.0101,0.6622
0,63,12,3,0.0725,0.0093,0.7022
0,64,12,4,0.0707,0.0036,0.7453
1,65,13,0,0.1615,0.1018,0.6627
1,66,13,1,0.0965,0.0361,0.6716
1,67,13,2,0.096,0.039,0.6328
1,68,13,3,0.118,0.0527,0.7261
1,69,13,4,0.1178,0.055,0.6976
2,70,14,0,0.1188,0.0394,0.8829
2,71,14,1,0.1176,0.0549,0.6971
2,72,14,2,0.0826,0.0082,0.8272
2,73,14,3,0.1062,0.0207,0.95
2,74,14,4,0.1133,0.0239,0.9934
