Network,Entropy Value,Train Acc,Test Acc
Network 0,6.618317,0.504000,0.490400
Network 1,6.608037,0.407800,0.411800
Network 2,6.596481,0.485200,0.452200
Network 3,6.577818,0.422200,0.428300
Network 4,6.611938,0.452200,0.422800
Network 5,6.599519,0.380400,0.355000
Network 6,6.601615,0.360400,0.247400
Network 7,6.586720,0.385000,0.294300
Network 8,6.598093,0.349800,0.257400
Network 9,6.559364,0.330000,0.245900
Network 0,6.617922,0.496800,0.499000
Network 1,6.620184,0.461600,0.461500
Network 2,6.618682,0.474400,0.435500
Network 3,6.617384,0.496600,0.423300
Network 4,6.619155,0.470400,0.371500
Network 5,6.613491,0.465200,0.327100
Network 6,6.619412,0.444600,0.288800
Network 7,6.618001,0.432400,0.270400
Network 8,6.623945,0.420600,0.258000
Network 9,6.611134,0.404200,0.259600
Network 0,6.624154,0.574400,0.563200
Network 1,6.620729,0.519800,0.536600
Network 2,6.617201,0.507200,0.486300
Network 3,6.622242,0.515400,0.449000
Network 4,6.610550,0.479200,0.455100
Network 5,6.614117,0.478400,0.402700
Network 6,6.616512,0.464200,0.357300
Network 7,6.610017,0.426800,0.364200
Network 8,6.614949,0.427200,0.299700
Network 9,6.608837,0.436800,0.306300
Network 0,6.635208,0.607000,0.579400
Network 1,6.635513,0.592600,0.586500
Network 2,6.631806,0.542600,0.531200
Network 3,6.632961,0.537200,0.450300
Network 4,6.626622,0.509400,0.423500
Network 5,6.631830,0.502400,0.350800
Network 6,6.626825,0.476400,0.356600
Network 7,6.624251,0.481000,0.339600
Network 8,6.624920,0.465000,0.331800
Network 9,6.620995,0.441200,0.271200
Network 0,6.632034,0.587800,0.562200
Network 1,6.641598,0.547600,0.549000
Network 2,6.639949,0.583800,0.548500
Network 3,6.633603,0.538600,0.519300
Network 4,6.633292,0.548400,0.461100
Network 5,6.628372,0.519600,0.423400
Network 6,6.631994,0.500000,0.364800
Network 7,6.633171,0.507600,0.384400
Network 8,6.626187,0.480400,0.336300
Network 9,6.622205,0.460600,0.369800
Network 0,6.651423,0.654600,0.629500
Network 1,6.647849,0.647000,0.629500
Network 2,6.637962,0.620200,0.559300
Network 3,6.648349,0.593800,0.487200
Network 4,6.644306,0.571800,0.501000
Network 5,6.644665,0.572200,0.396000
Network 6,6.640388,0.544600,0.382800
Network 7,6.642998,0.486000,0.375400
Network 8,6.644561,0.519000,0.355400
Network 9,6.644667,0.486000,0.333300
Network 0,6.656928,0.678400,0.642000
Network 1,6.653708,0.625000,0.614500
Network 2,6.655072,0.629200,0.545700
Network 3,6.655867,0.607400,0.565600
Network 4,6.644905,0.548200,0.510700
Network 5,6.647273,0.519200,0.361900
Network 6,6.644721,0.524000,0.440600
Network 7,6.644619,0.497000,0.402400
Network 8,6.644100,0.515600,0.362400
Network 9,6.634090,0.468000,0.310500
Network 0,6.664805,0.682400,0.647600
Network 1,6.663801,0.701000,0.662800
Network 2,6.656490,0.662400,0.595800
Network 3,6.667650,0.629000,0.551800
Network 4,6.663158,0.607000,0.515300
Network 5,6.656555,0.570800,0.416700
Network 6,6.656047,0.570000,0.439000
Network 7,6.659487,0.530800,0.381600
Network 8,6.655330,0.502200,0.365400
