network,entropy,,
0,10.69176483,0,10.73070908
0,10.72061348,0,10.73634148
0,10.71569157,0,10.72288704
0,10.73137474,0,10.74928856
0,10.6425705,0,10.69710541
0,10.69657326,0,10.71800423
0,10.66410828,0,10.75095177
0,10.7865715,0,10.7559576
0,10.65658188,0,10.74882793
0,10.77353287,0,10.75211143
0,10.74964714,0,10.76111412
0,10.75717163,0,10.70897579
0,10.67404842,0,10.7716856
0,10.69062042,0,10.74981403
0,10.74512482,0,10.83098888
0,10.77040195,0,10.76374626
0,10.7442112,0,10.70124245
0,10.73965645,0,10.70757389
0,10.65023041,0,10.6958952
0,10.74938202,0,10.73698235
0,10.73888206,0,10.80456352
0,10.72653103,0,10.72284317
0,10.75531006,0,10.75083733
0,10.75540829,0,10.76650047
0,10.81555176,0,10.75278378
0,10.71783257,0,10.76943684
0,10.77136612,0,10.74533653
0,10.72945213,0,10.80361557
0,10.78343391,0,10.77786827
0,10.75079155,0,10.75629997
0,10.76965714,0,10.77295876
0,10.76576424,0,10.7187748
0,10.69887829,0,10.77305031
0,10.75264549,0,10.74661064
0,10.78014374,0,10.75185585
0,10.69656372,0,10.71801186
0,10.64472771,0,10.7671566
0,10.75563812,0,10.79526043
0,10.60191059,0,10.71217346
0,10.79112053,0,10.72261238
0,10.66497898,0,10.72810364
0,10.81141376,0,10.78765488
0,10.74768829,0,10.66888523
0,10.73446751,0,10.7696228
0,10.56271458,0,10.78082848
0,10.73034382,0,10.74332047
0,10.71676254,0,10.80954933
0,10.64404583,0,10.57496643
0,10.71866417,0,10.77631283
0,10.71209812,0,10.80646324
0,10.76685524,0,10.76623726
0,10.63521767,0,10.74974442
0,10.76178265,0,10.72270966
0,10.75418282,0,10.77483177
0,10.76850319,0,10.76924515
0,10.72143936,0,10.62832928
0,10.6582365,0,10.73018646
0,10.76891136,0,10.74520016
0,10.79804897,0,10.68937683
0,10.70854759,0,10.77593994
0,10.74640083,0,10.77978134
0,10.76554966,0,10.73555565
0,10.72044945,0,10.76559448
0,10.67001915,0,10.76740456
0,10.63140106,0,10.779562
0,10.53589725,0,10.78762054
0,10.64962959,0,10.76315022
0,10.7727108,0,10.78048897
0,10.65665722,0,10.7491436
0,10.67252731,0,10.77788353
0,10.73486137,0,10.73703003
0,10.53339767,0,10.74380302
0,10.79258919,0,10.77635384
0,10.77317905,0,10.75597095
0,10.660676,0,10.76479912
0,10.71257782,0,10.71272087
